Feature,Importance
cat__Order City_Wollongong,0.00024529513665758675
cat__Order City_Barcelona,0.00024513222834366224
cat__Order State_Lima (ciudad),0.0002449047751967401
cat__Customer City_Richmond,0.00024484370622844726
cat__Order State_Bretaña,0.0002447648485576342
cat__Order City_Stoke-on-Trent,0.0002442036625383546
cat__Order City_Santiago de los Caballeros,0.00024413272628253497
cat__Customer City_Santa Cruz,0.0002440659717307833
cat__Order City_Dublín,0.00024205200903959216
cat__Order City_Frankfurt,0.0002417969592760983
cat__Order State_Atlántida,0.0002414902388858178
cat__Order State_Alagoas,0.0002408794196339258
cat__Order State_Heilongjiang,0.00023987502632138706
cat__Customer State_KY,0.00023985703377156365
cat__Order City_Coyoacán,0.0002397616370532577
cat__Order City_Bandung,0.00023960711455833284
cat__Category Name_Baseball & Softball,0.00023887608173160625
cat__Order State_Paraná,0.0002384712639233811
cat__Order City_Le Havre,0.00023830486433882865
cat__Customer City_Fairfield,0.00023800372419764047
cat__Order Country_Rumania,0.00023754099478791898
cat__Order State_Chiriquí,0.00023721836585621883
cat__Order State_Santa Ana,0.0002369538590398017
cat__Order City_Bezerros,0.0002366570191284955
cat__Order State_Sinaloa,0.00023641227333151462
cat__Customer City_Simi Valley,0.00023629902985960267
cat__Order City_Petapa,0.00023540549163143364
cat__Customer City_Amarillo,0.00023532954141448976
cat__Order State_Yucatán,0.00023531794037967956
cat__Order State_Durango,0.00023522171998832938
cat__Category Name_Golf Shoes,0.0002346026942237322
cat__Customer State_KS,0.00023459571648698594
cat__Order City_Ilopango,0.00023408631930029174
cat__Order City_Singapur,0.0002335567563218145
cat__Order City_Milan,0.00023345355794104493
cat__Order State_Holanda Septentrional,0.00023269226001768637
cat__Order State_Apulia,0.00023260494898658297
cat__Order State_Andalucía,0.00023199061370827366
cat__Customer City_Hayward,0.00023177029621218183
cat__Customer City_Tempe,0.00023150043246576786
cat__Category Name_Hunting & Shooting,0.00023107701680600803
cat__Order City_São Miguel dos Campos,0.00023064590871233224
cat__Order State_Limburgo,0.00023048337024559216
cat__Order City_Ho Chi Minh City,0.0002304781810427352
cat__Customer City_Plano,0.00023002606227058627
cat__Customer City_Costa Mesa,0.00022986792445113798
cat__Order State_Ceará,0.0002293061148572263
cat__Order City_Morelia,0.00022905761034184357
cat__Order City_Carrefour,0.0002288715932040763
cat__Order State_Karnataka,0.00022844413086784535
cat__Customer City_Salt Lake City,0.00022800170260040621
cat__Order State_Brabante Septentrional,0.00022763547179588148
cat__Order City_Santiago de Chile,0.00022755823421410952
cat__Order City_La Romana,0.0002271396102142287
cat__Order City_La Ceiba,0.00022706225461512026
cat__Customer City_Victorville,0.00022649950038154876
cat__Customer City_San Francisco,0.0002263967697418988
cat__Customer City_Apopka,0.00022639115614510926
cat__Order City_Depok,0.00022478396075710575
cat__Order Country_Singapur,0.0002243138890198148
cat__Order City_Tijuana,0.0002239624261572251
cat__Customer City_College Station,0.00022370438434493888
cat__Customer City_Atlanta,0.00022365707890388
cat__Order City_Detroit,0.0002231931379820187
cat__Order State_Singapur,0.00022276683183289903
cat__Category Name_DVDs,0.00022273619454719077
cat__Order State_Sajonia,0.0002224504179650216
cat__Customer City_South Richmond Hill,0.0002222420225048436
cat__Customer City_Lakewood,0.0002218925333106898
cat__Order City_Tlalpan,0.00022143573820252027
cat__Customer City_Greensboro,0.00022116966583441783
cat__Customer City_Ontario,0.0002209900950625603
cat__Order City_Toluca,0.0002209079667684273
